               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12701,            0.062497,            0.067099,           0.0020325,            0.040621,          0.00094411,           0.0002144,              0.1243,             0.05536,            0.066246,              0.0001,              0.0001,              0.0991
                   1,             0.12755,              0.0661,            0.066801,          0.00079762,               0.025,          0.00034596,          0.00010379,             0.12338,            0.056442,            0.065854,          0.00029926,          0.00029926,            0.097299
                   2,             0.12682,            0.066414,            0.066046,          0.00087896,            0.027703,          0.00055737,          0.00012268,             0.12193,            0.058059,            0.065327,          0.00049752,          0.00049752,            0.095498
                   3,             0.12507,             0.06641,            0.066653,           0.0019022,            0.050405,           0.0012507,          0.00030169,             0.12015,            0.059807,            0.064626,           0.0006948,           0.0006948,            0.093695
                   4,             0.12252,            0.061262,            0.065103,           0.0020825,            0.050405,           0.0013663,          0.00028797,             0.11821,            0.061401,             0.06386,          0.00089109,          0.00089109,            0.091891
                   5,             0.12352,            0.082145,            0.065005,            0.002565,            0.070405,           0.0017897,          0.00037794,             0.11605,            0.062888,            0.062925,           0.0010864,           0.0010864,            0.090086
                   6,             0.11901,            0.065108,            0.063582,           0.0030496,            0.095405,           0.0027868,          0.00042466,             0.11366,            0.064277,            0.061963,           0.0012807,           0.0012807,            0.088281
                   7,             0.11734,            0.078529,            0.062605,           0.0042793,             0.10874,           0.0039557,          0.00050961,             0.11158,             0.06478,            0.060798,            0.001474,            0.001474,            0.086474
                   8,             0.11454,            0.076231,            0.061511,           0.0046452,            0.086036,           0.0045551,           0.0006877,             0.11048,            0.064847,            0.060127,           0.0016663,           0.0016663,            0.084666
                   9,             0.11561,            0.081051,            0.061423,           0.0070786,             0.22207,           0.0089624,           0.0013608,             0.10872,            0.065024,            0.059325,           0.0018577,           0.0018577,            0.082858
                  10,             0.11153,            0.071855,            0.059466,           0.0087336,            0.030405,           0.0093184,           0.0013214,             0.10695,            0.064959,            0.058261,            0.002048,            0.002048,            0.081048
                  11,             0.11004,             0.07592,            0.059304,            0.025162,            0.033108,            0.017197,           0.0028719,             0.10499,            0.064572,            0.057022,           0.0022374,           0.0022374,            0.079237
                  12,             0.10845,            0.075576,            0.058067,            0.030092,             0.11455,            0.024859,           0.0053479,             0.10384,            0.063108,            0.055916,           0.0024257,           0.0024257,            0.077426
                  13,             0.10752,            0.080794,            0.058598,            0.026796,             0.14036,            0.031106,           0.0049889,             0.10262,            0.060604,            0.054137,           0.0026131,           0.0026131,            0.075613
                  14,             0.10366,            0.066155,            0.057002,            0.074908,            0.063919,            0.057266,            0.014611,             0.10083,            0.059349,            0.052517,           0.0027995,           0.0027995,              0.0738
                  15,             0.10295,            0.088265,            0.056603,            0.044291,             0.26203,            0.059717,            0.011572,            0.099305,            0.057203,            0.051486,           0.0029849,           0.0029849,            0.071985
                  16,            0.099952,            0.076699,            0.056226,            0.046778,              0.3295,            0.073535,            0.014262,             0.09635,            0.054972,            0.050489,           0.0031693,           0.0031693,            0.070169
                  17,             0.09899,            0.063296,            0.054945,            0.061673,             0.26284,            0.084987,            0.020717,            0.093724,            0.053903,            0.049571,           0.0033527,           0.0033527,            0.068353
                  18,             0.09465,            0.073595,            0.053156,             0.43459,            0.077838,            0.047125,            0.012584,            0.092426,            0.053622,            0.048785,           0.0035352,           0.0035352,            0.066535
                  19,            0.094682,            0.056573,             0.05212,             0.40727,            0.088468,            0.065267,            0.012974,            0.098279,            0.055275,            0.048012,           0.0037166,           0.0037166,            0.064717
                  20,            0.089837,            0.066433,             0.05101,             0.12799,             0.20974,            0.095394,            0.028161,            0.088134,            0.057337,            0.047433,            0.003897,            0.003897,            0.062897
                  21,            0.091022,            0.065578,            0.050719,             0.36508,            0.096757,            0.061627,            0.014011,            0.097289,            0.065466,              0.0467,           0.0040765,           0.0040765,            0.061077
                  22,            0.089124,            0.060275,            0.049318,             0.34158,             0.14216,            0.067266,            0.011348,            0.087151,            0.066786,            0.045757,            0.004255,            0.004255,            0.059255
                  23,            0.087181,            0.059159,            0.048979,             0.47908,             0.11405,            0.085595,            0.022137,            0.095181,            0.071015,            0.044589,           0.0044325,           0.0044325,            0.057432
                  24,             0.08681,            0.056077,            0.047915,            0.039246,             0.36901,             0.04715,           0.0097663,            0.090728,            0.071826,            0.043678,           0.0046089,           0.0046089,            0.055609
                  25,            0.082219,            0.058363,            0.047704,             0.45545,             0.27524,             0.10993,            0.040079,            0.085051,            0.066311,            0.042195,           0.0047844,           0.0047844,            0.053784
                  26,            0.081056,            0.055822,            0.046834,             0.31749,             0.19946,            0.019966,           0.0055504,             0.11646,            0.069684,            0.042452,           0.0049589,           0.0049589,            0.051959
                  27,             0.10715,             0.05593,            0.046638,             0.31749,             0.19946,            0.019966,           0.0055504,             0.11646,            0.069684,            0.042452,           0.0051325,           0.0051325,            0.050132
                  28,             0.10898,            0.047213,            0.047448,             0.21702,             0.23297,            0.022525,            0.007651,             0.11603,            0.064402,            0.042264,            0.005305,            0.005305,            0.048305
                  29,             0.10836,            0.052148,            0.046703,            0.049357,              0.5205,             0.11276,              0.0299,             0.10083,            0.043607,            0.041392,           0.0054765,           0.0054765,            0.046477
                  30,            0.099762,            0.048153,            0.045184,            0.049357,              0.5205,             0.11276,              0.0299,             0.10083,            0.043607,            0.041392,           0.0056471,           0.0056471,            0.044647
                  31,            0.094655,            0.051728,            0.045405,             0.45049,             0.11784,            0.058457,            0.011175,            0.097194,            0.041779,             0.04075,           0.0058166,           0.0058166,            0.042817
                  32,            0.087328,            0.057101,            0.045087,             0.36663,             0.21405,             0.13146,            0.036939,             0.08375,            0.043825,            0.040122,           0.0059852,           0.0059852,            0.040985
                  33,            0.083768,            0.060482,            0.043582,             0.36663,             0.21405,             0.13146,            0.036939,             0.08375,            0.043825,            0.040122,           0.0061528,           0.0061528,            0.039153
                  34,             0.07716,            0.056109,            0.045347,             0.59335,             0.19894,             0.15525,            0.035268,             0.08277,            0.045025,            0.039472,           0.0063194,           0.0063194,            0.037319
                  35,            0.076358,            0.059092,            0.041937,             0.58404,               0.182,            0.094426,            0.017232,             0.10227,            0.050584,            0.038783,            0.006485,            0.006485,            0.035485
